,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,zipcode,sqft_living15,price
47,4,2,2290,2,0,0,9,2290,0,617254.0212765958,2680,785000
48,3,2,1250,1,0,0,7,1250,0,619944.1492281304,970,450000
49,3,2,2753,1,1,2,9,2165,588,489382.0170940171,2680,1350000
50,3,1,1190,1,0,0,7,1190,0,284908.5964912281,1190,228000
51,5,2,3150,1,0,0,8,1640,1510,420895.47536945814,1990,345000
52,3,2,1410,1,0,0,7,1000,410,576834.808318264,1410,600000
53,2,2,1980,1,0,0,7,990,990,576834.808318264,1480,585000
54,5,2,2730,"1,5",0,0,8,2130,600,863228.9432314411,2730,920000
55,4,2,2830,2,0,0,9,2830,0,863228.9432314411,1950,885000
56,4,2,2250,2,0,0,7,2250,0,311580.33638025593,2250,292500
57,3,2,2420,2,0,0,8,2420,0,311580.33638025593,2690,301000
58,5,3,3250,2,0,4,8,3250,0,645628.2261484099,2960,951000
59,4,3,1850,2,0,0,8,1850,0,493625.3098290598,2270,430000
60,3,2,2150,1,0,3,8,1590,560,464322.38976377953,2570,650000
61,3,2,1260,1,0,0,7,1260,0,284908.5964912281,1290,289000
62,3,2,2519,2,0,0,8,2519,0,464322.38976377953,2500,505000
63,3,2,1540,3,0,0,8,1540,0,619944.1492281304,1580,549000
64,3,2,1660,1,0,0,7,1110,550,634558.1448275862,1440,425000
65,3,3,2770,"1,5",0,0,7,1770,1000,594706.5422740525,1440,317625
66,4,2,2720,2,0,0,10,2720,0,1356523.9905362776,2750,975000
67,4,2,2240,2,0,0,7,2240,0,281194.8698060942,2221,287000
68,3,1,1000,1,0,0,7,1000,0,311580.33638025593,1010,204000
69,5,2,3200,1,0,0,8,1600,1600,1356523.9905362776,3390,1330000
70,5,3,4770,1,0,0,11,3070,1700,810289.6964285715,3530,1040000
71,3,2,1260,1,0,0,7,1260,0,521740.0146788991,1640,325000
72,4,2,2750,"1,5",0,0,7,2250,500,469928.76772616134,1510,571000
73,4,2,2380,2,0,0,8,2380,0,367091.48387096776,2420,360000
74,3,2,1790,1,0,0,7,1090,700,311580.33638025593,1940,349000
75,4,4,3430,2,0,0,10,2390,1040,790734.704735376,3240,832500
76,4,2,1760,1,0,0,7,880,880,645628.2261484099,1680,380000
77,3,1,1040,1,0,0,7,1040,0,618695.1090909091,890,480000
78,3,1,1410,1,0,0,7,910,500,387011.5902636917,1130,410000
79,4,2,3450,2,0,0,10,3450,0,423665.99,3350,720000
80,3,2,2350,2,0,0,8,2350,0,367091.48387096776,2350,390000
81,4,2,1900,2,0,0,7,1900,0,367091.48387096776,1870,360000
82,2,1,2020,1,0,0,7,1010,1010,418019.36094674555,1720,355000
83,3,2,1680,1,0,0,8,1680,0,493625.3098290598,1850,356000
84,3,1,960,1,0,0,6,960,0,469928.76772616134,1570,315000
85,3,2,2140,2,0,0,9,1900,240,849714.8097826086,2020,940000
86,5,2,2660,"1,5",0,0,7,2660,0,334921.0626780627,1590,305000
87,3,3,2770,2,0,0,9,1980,790,420895.47536945814,1900,461000
88,2,2,1610,2,0,0,7,1610,0,420895.47536945814,1950,215000
89,2,2,1030,2,0,0,7,765,265,551768.5209125475,1030,335000
90,4,2,1980,2,0,0,7,1980,0,286742.81162324647,1980,243500
91,5,3,3520,2,0,0,10,3520,0,792187.8738170346,2520,1100000
92,3,1,1200,1,0,0,7,1200,0,286742.81162324647,1350,153000
93,3,2,1580,1,0,0,8,1290,290,576834.808318264,1570,430000
94,3,2,1580,1,0,0,8,1290,290,576834.808318264,1570,700000
95,4,2,3300,1,0,0,7,2390,910,1194873.6382978724,1950,905000
96,3,2,1960,1,0,0,7,1960,0,251296.24,1750,247500
97,4,2,1160,1,0,0,7,1160,0,286742.81162324647,1160,199000
98,3,2,1810,1,0,0,7,1210,600,367091.48387096776,1650,314000
99,3,2,2320,2,0,2,9,2320,0,440232.31363636366,2550,437500
100,3,2,2070,"1,5",0,0,9,1270,800,899607.6730769231,2200,850830
101,3,2,1980,"1,5",0,0,7,1440,540,576834.808318264,1610,555000
102,3,2,2190,2,0,0,8,2190,0,682885.9898989899,2570,699950
103,3,2,2920,2,0,0,8,2920,0,1356523.9905362776,2370,1090000
104,3,1,1210,1,0,0,7,1210,0,353619.07472527475,1640,290000
105,3,2,2340,1,0,0,8,1460,880,353619.07472527475,2250,375000
106,3,1,1670,"1,5",0,0,7,1170,500,576834.808318264,1240,460000
107,2,2,1240,1,0,0,8,1240,0,302896.7392857143,1270,188500
108,4,2,3140,2,0,0,10,3140,0,682885.9898989899,2990,680000
109,5,2,2030,2,0,0,7,2030,0,645244.2264808363,2500,470000
110,4,2,2310,2,0,0,8,2310,0,617053.9660194175,1940,597750
111,3,2,1260,1,0,0,6,700,560,585048.7790697674,1380,570000
112,3,2,1540,1,0,0,7,1160,380,367091.48387096776,1540,272500
113,3,2,2080,1,0,2,7,1080,1000,355678.51612903224,2090,329950
114,4,2,3230,2,0,3,9,2520,710,281194.8698060942,2640,480000
115,3,4,4380,2,0,0,8,2780,1600,576834.808318264,1830,740500
116,3,4,1590,3,0,0,8,1590,0,585048.7790697674,1620,518500
117,2,1,880,1,0,0,6,880,0,310612.75572519086,1190,205425
118,4,2,1570,1,0,0,6,1570,0,240328.3717472119,1880,171800
119,4,1,1610,"1,5",0,0,7,1610,0,594706.5422740525,1610,535000
120,3,2,2400,1,0,2,8,1560,840,676419.3921568628,2340,660000
121,3,2,1450,1,0,0,7,1450,0,521740.0146788991,1580,391500
122,2,1,770,1,0,0,6,770,0,576834.808318264,1710,395000
123,4,2,2100,"1,5",0,0,7,1720,380,418019.36094674555,1850,445000
124,3,2,2910,2,0,0,9,2910,0,645244.2264808363,2700,770000
125,4,3,2750,"1,5",0,0,8,1980,770,1356523.9905362776,3060,1450000
126,3,2,2100,1,0,2,8,1620,480,310612.75572519086,2660,445000
127,4,2,2160,1,0,0,8,1360,800,286742.81162324647,2090,260000
128,5,4,2320,2,0,0,7,1720,600,585048.7790697674,1700,822500
129,4,2,2070,2,0,0,7,2070,0,529629.7824675324,1970,430000
130,3,2,1060,1,0,0,7,1060,0,334921.0626780627,1420,212000
131,4,2,2010,1,0,0,8,1440,570,617053.9660194175,2060,660500
132,3,4,3950,"1,5",0,0,9,2460,1490,645244.2264808363,2480,784000
133,3,2,2010,2,0,0,8,1390,620,612642.738317757,1690,453246
134,4,4,2140,3,0,0,9,2140,0,579109.8082706766,1540,675000
135,3,2,1320,1,0,0,7,1320,0,294111.27857142856,1550,199000
136,4,2,2020,1,0,0,7,1010,1010,294111.27857142856,1750,220000
137,4,2,2590,1,0,0,8,1340,1250,462488.8692579505,1550,452000
138,2,1,1190,1,0,0,6,1190,0,469928.76772616134,1060,382500
139,3,2,1170,3,0,0,8,1170,0,579109.8082706766,1350,519950
140,2,1,1110,1,0,0,7,1110,0,849714.8097826086,1170,665000
141,5,2,2820,1,0,0,8,1550,1270,859938.5542168674,2820,527700
142,3,1,1610,1,0,0,7,1010,600,353619.07472527475,1610,205000
143,3,1,1060,1,0,0,7,940,120,387011.5902636917,1560,420000
144,4,2,2030,1,0,0,8,1380,650,859938.5542168674,2230,500000
145,4,2,3670,2,0,0,9,3670,0,682885.9898989899,2840,921500
146,4,1,2550,2,0,0,8,2370,180,880077.752293578,2200,890000
147,2,2,2420,2,0,0,7,2420,0,617053.9660194175,1940,430000
148,5,2,2260,1,0,0,8,1130,1130,251296.24,1360,258000
149,3,1,1430,1,0,0,7,980,450,585048.7790697674,1450,511000
150,3,2,1360,2,0,0,8,1360,0,585048.7790697674,1500,532170
151,3,1,1110,"1,5",0,0,7,1110,0,579109.8082706766,1420,560000
152,3,1,1250,1,0,0,7,1250,0,294111.27857142856,1680,282950
153,4,3,5180,2,0,3,12,3540,1640,859938.5542168674,3160,2250000
154,1,1,700,1,0,0,7,700,0,619944.1492281304,1010,350000
155,3,1,1180,1,0,0,7,1180,0,353619.07472527475,1190,215000
156,5,4,3960,2,0,0,9,2500,1460,420895.47536945814,2640,650000
157,4,3,2640,1,0,0,8,1620,1020,286742.81162324647,1980,320000
158,3,2,1270,"1,5",0,0,7,1270,0,316742.3905579399,1160,247000
159,4,2,1760,1,0,0,8,1760,0,493625.3098290598,1730,320000
160,5,2,2060,1,0,0,7,1030,1030,359496.2604166667,1010,255000
161,3,2,1780,1,0,0,7,1780,0,521740.0146788991,1200,438000
162,3,2,3400,2,0,0,10,3400,0,790734.704735376,3400,900000
163,3,3,1910,1,0,0,7,1160,750,521740.0146788991,1710,441000
164,3,2,2020,1,0,0,7,1010,1010,617053.9660194175,2110,420000
165,3,2,1580,1,0,0,7,1180,400,521740.0146788991,1640,370000
166,2,2,1340,1,0,0,5,700,640,302896.7392857143,1830,269950
167,4,2,2680,2,0,0,9,2680,0,859938.5542168674,2920,807100
168,3,2,2680,1,0,0,8,1610,1070,521740.0146788991,2480,653000
169,3,2,1370,1,0,0,7,1370,0,387011.5902636917,1770,371500
170,3,2,1560,1,0,0,7,1560,0,464322.38976377953,1070,284000
171,3,2,2160,1,0,0,7,1670,490,286742.81162324647,1930,272000
172,3,2,1340,"1,5",0,0,7,1340,0,387011.5902636917,1480,313000
173,4,2,3880,2,0,0,10,2570,1310,803990.8194444445,3740,917500
174,4,2,2590,2,0,0,8,2590,0,859938.5542168674,2260,673000
175,3,2,1120,2,0,0,8,820,300,634558.1448275862,1590,425000
176,5,3,1970,1,0,0,7,1320,650,594706.5422740525,1280,399950
177,3,1,1220,1,0,0,6,1220,0,634558.1448275862,1200,385000
178,3,2,1950,1,0,2,7,1320,630,316742.3905579399,1950,269950
179,2,1,1350,1,0,0,7,1060,290,676419.3921568628,1540,330000
180,3,2,1670,2,0,0,7,1670,0,296187.98046875,1670,260000
181,4,3,2380,"1,5",0,0,7,1680,700,424734.60451977403,1410,470000
182,4,3,2440,2,0,0,7,2440,0,521740.0146788991,2290,589000
183,2,2,1050,2,0,0,7,1050,0,367091.48387096776,1050,163500
184,4,3,3130,2,0,0,9,2140,990,645244.2264808363,2260,835000
185,5,3,4090,1,0,2,10,2090,2000,803990.8194444445,2540,1100000
186,4,2,1490,1,0,0,8,1100,390,286742.81162324647,2190,269000
187,3,2,1900,2,0,0,8,1900,0,685675.8435374149,2030,560000
188,4,1,1330,"1,5",0,0,6,1330,0,585048.7790697674,1330,615000
189,3,2,2230,1,0,0,8,1430,800,645244.2264808363,2230,585188
190,3,2,1650,1,0,0,7,1220,430,521740.0146788991,1540,305000
191,3,1,1190,1,0,0,6,1190,0,353619.07472527475,1230,166950
192,3,2,2140,1,0,0,8,2140,0,1194873.6382978724,2680,799000
193,3,2,2180,1,0,0,7,1420,760,387011.5902636917,1900,400000
194,3,1,1060,1,0,0,7,1060,0,423736.9058295964,1570,230000
195,3,2,1690,2,0,0,8,1690,0,286742.81162324647,2550,256883
196,4,2,1970,"1,5",0,0,7,1130,840,355678.51612903224,1500,423000
197,3,2,2150,2,0,0,8,2150,0,424734.60451977403,1750,465000
198,3,2,1910,2,0,0,7,1910,0,586120.875,2330,440000
199,3,2,1350,1,0,0,7,1350,0,367091.48387096776,1560,385000
200,3,1,860,1,0,0,6,860,0,420895.47536945814,1300,210000
201,3,2,1940,2,0,0,8,1940,0,311580.33638025593,2030,297000
202,3,1,1010,1,0,0,7,1010,0,579109.8082706766,1680,470000
203,3,2,1300,1,0,0,7,900,400,286742.81162324647,1430,226500
204,3,1,910,1,0,0,6,910,0,493625.3098290598,1400,274250
205,4,2,2480,1,0,0,9,1630,850,1194873.6382978724,2770,840000
206,3,2,2440,2,0,0,8,2440,0,645244.2264808363,2750,677900
207,3,1,1010,1,0,0,7,1010,0,618695.1090909091,1290,425000
208,2,1,900,1,0,0,6,900,0,464322.38976377953,1250,180250
209,6,3,2300,2,0,0,7,1600,700,387011.5902636917,1560,464000
210,4,2,1550,2,0,0,8,1550,0,367091.48387096776,1630,320000
211,3,2,1270,2,0,0,8,1060,210,863228.9432314411,1160,625504
212,4,2,2240,1,0,0,9,2240,0,685675.8435374149,2520,592500
213,3,2,2714,2,0,0,9,2714,0,281194.8698060942,2590,465000
214,4,3,1720,2,0,0,8,1720,0,418019.36094674555,2130,477000
215,2,1,850,1,0,0,6,850,0,240328.3717472119,1100,280000
216,5,3,3300,1,0,3,9,1870,1430,1194873.6382978724,3836,1510000
217,3,2,2250,2,0,0,8,2250,0,359496.2604166667,1320,445838
218,2,2,3900,1,0,3,8,1950,1950,594706.5422740525,2580,1070000
219,2,2,1320,1,0,0,8,1320,0,676419.3921568628,2120,467000
220,4,2,2760,2,0,0,10,2760,0,790734.704735376,3070,686000
221,3,2,1750,1,0,0,7,1350,400,302896.7392857143,1900,279950
222,4,2,2330,2,0,0,8,2330,0,490377.1076923077,1910,527000
223,3,2,2220,1,0,0,8,1780,440,296187.98046875,2080,325000
224,3,2,2020,2,0,0,7,2020,0,367091.48387096776,2020,328000
225,3,2,1250,1,0,0,7,1250,0,359496.2604166667,1280,390000
226,2,2,1510,1,0,0,8,1510,0,677215.034739454,1640,479950
227,4,2,1720,1,0,0,7,1120,600,286742.81162324647,1510,264950
228,3,1,1430,1,0,0,7,980,450,300340.40293040295,1960,235000
229,3,2,1480,2,0,0,7,1480,0,677215.034739454,2250,516500
230,2,2,1450,2,1,4,7,1230,220,464322.38976377953,2030,655000
231,4,3,2280,1,0,0,7,2280,0,493625.3098290598,2280,500000
232,6,3,2940,1,0,0,8,1780,1160,286742.81162324647,2120,315000
233,2,1,1000,1,0,0,6,1000,0,586120.875,1150,213000
234,3,2,2480,"1,5",0,0,7,1620,860,355678.51612903224,2090,475000
235,5,4,3760,2,0,0,10,3760,0,803990.8194444445,3430,1030000
236,3,2,2220,1,0,0,7,1640,580,423665.99,2070,416000
237,4,1,1970,"1,5",0,0,7,1670,300,634558.1448275862,1510,410000
238,3,4,3830,2,0,0,10,3530,300,682885.9898989899,2920,800000
239,6,2,4410,1,0,2,9,2350,2060,294111.27857142856,2600,472000
240,3,2,1430,1,0,0,7,1430,0,294111.27857142856,1190,225000
241,2,1,830,1,0,0,6,830,0,424734.60451977403,830,210000
242,2,1,1430,"1,5",0,0,7,1430,0,619944.1492281304,1450,455000
243,3,1,1300,1,0,0,6,1300,0,234284.0351758794,1260,225000
244,2,1,1030,1,0,2,7,790,240,585048.7790697674,1390,480000
245,3,2,2740,2,0,0,9,2740,0,286742.81162324647,2570,363000
246,4,2,3650,1,1,4,9,1830,1820,685675.8435374149,3120,2400000
247,2,2,720,1,0,0,6,720,0,319581.3940298507,1150,181000
248,4,2,2010,1,0,0,7,2010,0,234284.0351758794,2010,250000
249,3,2,1560,1,0,0,6,770,790,585048.7790697674,1390,481000
250,3,2,1810,1,0,0,7,1240,570,251296.24,1750,260000
251,4,2,3360,2,0,0,9,3360,0,353619.07472527475,3060,455000
252,3,2,1510,2,0,0,8,1510,0,440232.31363636366,1730,415000
253,3,1,1400,1,0,0,7,800,600,418019.36094674555,1620,349500
254,3,2,1730,2,0,0,7,1730,0,296187.98046875,1630,245000
255,2,2,1420,"1,5",0,2,7,1420,0,619944.1492281304,1420,592500
256,4,2,2360,1,0,0,7,1180,1180,319581.3940298507,1910,385000
257,3,2,1580,1,0,0,7,1200,380,493625.3098290598,1550,315000
258,3,1,1230,1,0,0,7,1230,0,440232.31363636366,1380,255000
259,4,2,2460,2,0,0,8,2460,0,645244.2264808363,2990,693000
260,3,1,1660,"1,5",0,0,8,1460,200,1096239.0074349442,1660,780000
261,3,2,1270,1,0,0,7,1270,0,302896.7392857143,1600,237000
262,3,2,2100,2,0,0,10,1320,780,685675.8435374149,2380,525000
263,2,1,770,1,0,0,5,770,0,594706.5422740525,1330,425000
264,1,1,760,1,1,4,5,760,0,489382.0170940171,1230,369900
265,4,2,1700,2,0,0,7,1700,0,300340.40293040295,1950,290000
266,3,1,1120,1,0,0,7,1120,0,319581.3940298507,1130,285000
267,2,1,1070,1,0,0,7,1070,0,619944.1492281304,1320,415000
268,3,2,2070,1,0,0,8,1420,650,286742.81162324647,2070,272500
269,4,3,5050,"1,5",0,2,11,4750,300,1356523.9905362776,3890,2900000
270,4,5,5310,2,0,0,11,5310,0,682885.9898989899,4180,1370000
271,2,1,1040,1,0,0,7,1040,0,387011.5902636917,1440,436000
272,3,1,1700,1,0,0,7,1700,0,294111.27857142856,1350,210000
273,3,1,1300,1,0,0,7,1300,0,310612.75572519086,1320,236000
274,3,2,1080,1,0,0,7,580,500,792187.8738170346,1440,331000
275,3,2,2653,2,0,0,8,2653,0,300340.40293040295,2653,365000
276,3,2,2290,1,0,0,8,2290,0,353619.07472527475,1660,450000
277,4,3,3820,2,0,0,9,2850,970,462488.8692579505,1860,770000
278,4,2,2210,1,0,0,8,2210,0,367091.48387096776,2670,455000
279,3,2,2390,1,0,0,6,1240,1150,418019.36094674555,2020,405000
280,4,2,2600,1,0,0,7,1610,990,300340.40293040295,1720,304900
281,2,1,860,1,0,0,6,860,0,310612.75572519086,1650,170000
282,5,3,3830,2,0,1,9,2630,1200,634558.1448275862,3050,2050000
283,4,2,3500,2,0,0,9,3500,0,677215.034739454,3920,780000
284,3,3,2420,1,0,0,8,1740,680,462488.8692579505,2570,330000
285,4,2,2720,2,0,0,9,2720,0,296187.98046875,2410,370000
286,5,2,2500,1,0,0,7,1850,650,570073.5201465201,2300,467000
287,3,2,1670,1,0,0,7,1140,530,521740.0146788991,1670,405000
288,5,2,2900,1,0,0,8,1450,1450,859938.5542168674,2310,675000
289,2,1,1640,1,0,0,7,1140,500,859938.5542168674,1520,500000
290,4,2,1890,2,0,0,7,1890,0,464322.38976377953,2410,389999
291,4,2,2950,1,0,2,8,1780,1170,521740.0146788991,2120,630000
292,4,2,2160,2,0,0,9,2160,0,281194.8698060942,2280,360000
293,4,3,3280,2,0,0,8,2270,1010,420895.47536945814,2320,580000
294,3,2,1970,2,0,3,8,1270,700,424734.60451977403,2390,550000
295,4,2,3360,2,0,0,10,3360,0,790734.704735376,3150,879000
296,3,2,1320,1,0,0,7,1320,0,311580.33638025593,1740,265000
297,3,2,2650,2,0,0,8,2650,0,493625.3098290598,2400,446500
298,3,2,2030,1,0,0,7,1330,700,355678.51612903224,2140,404000
299,3,2,1590,1,0,2,7,1090,500,289078.3455882353,1630,267500
300,4,5,4550,1,1,4,10,2600,1950,685675.8435374149,4550,3080000
301,3,2,2440,2,0,0,8,2440,0,294111.27857142856,2510,335000
302,3,2,1940,1,0,0,7,970,970,576834.808318264,2190,576000
303,3,2,2040,2,0,0,8,2040,0,367091.48387096776,2370,208633
304,3,2,2200,1,0,0,7,1120,1080,464322.38976377953,1460,315000
305,3,2,1920,1,0,0,8,960,960,1096239.0074349442,1740,725000
306,4,3,1800,1,0,0,8,1400,400,676419.3921568628,1800,550000
307,4,2,2180,2,0,0,8,2180,0,685675.8435374149,2250,610750
308,2,1,1010,"1,5",0,0,6,1010,0,863228.9432314411,1460,550700
309,4,3,3320,2,0,0,8,2220,1100,420895.47536945814,2720,665000
310,4,2,2370,"1,5",0,2,8,1980,390,594706.5422740525,2440,834000
311,5,2,1660,"1,5",0,0,6,1660,0,529629.7824675324,1660,201000
312,5,2,3650,2,0,4,10,3370,280,849714.8097826086,2880,2380000
313,4,3,4290,1,0,3,11,2690,1600,859938.5542168674,3860,1380000
314,4,3,4290,1,0,3,11,2690,1600,859938.5542168674,3860,1400000
315,4,2,1950,1,0,0,8,1350,600,353619.07472527475,2150,305000
316,3,2,2590,1,0,0,8,1720,870,387011.5902636917,1570,487000
317,3,2,1930,1,0,0,8,1930,0,311580.33638025593,2350,390000
318,2,1,1470,1,0,0,7,1170,300,585048.7790697674,1570,548000
319,4,1,800,1,0,0,6,800,0,464322.38976377953,1310,268750
320,5,3,3150,2,0,0,9,3150,0,645244.2264808363,1560,819900
321,3,2,2030,2,0,0,8,2030,0,617053.9660194175,2660,520000
322,3,2,1450,1,0,0,7,1450,0,281194.8698060942,1520,230000
323,3,2,1510,1,0,0,7,1510,0,286742.81162324647,1510,240000
324,2,1,1240,1,0,0,6,960,280,359496.2604166667,1820,232000
325,2,1,1240,1,0,0,6,960,280,359496.2604166667,1820,240500
326,3,2,3030,2,0,0,9,3030,0,682885.9898989899,3080,274975
327,4,2,2050,"1,5",0,0,9,2050,0,899607.6730769231,2320,740000
328,3,1,1000,1,0,0,7,1000,0,464322.38976377953,1150,186375
329,3,2,2370,1,0,0,9,1590,780,810289.6964285715,2500,790000
330,4,4,2800,2,0,0,9,1890,910,863228.9432314411,2370,880000
331,6,2,2240,2,0,0,7,2240,0,302896.7392857143,1590,279000
332,3,2,1810,1,0,2,8,1810,0,316742.3905579399,1910,295000
333,2,1,1070,1,0,0,7,1070,0,585048.7790697674,1710,640000
334,4,2,2490,2,0,0,9,2490,0,1194873.6382978724,2770,940000
335,4,2,1960,2,0,0,7,1960,0,367091.48387096776,1800,260000
336,3,3,2930,1,0,0,9,1860,1070,570073.5201465201,2580,559900
337,4,2,1510,"1,5",0,0,7,1510,0,585048.7790697674,1820,791500
338,3,2,1420,1,0,0,7,1420,0,387011.5902636917,1740,265000
339,3,2,1740,1,0,0,7,1740,0,310612.75572519086,880,245000
340,4,2,2560,2,0,0,7,2560,0,645244.2264808363,2560,485000
341,4,4,3040,2,0,0,9,2420,620,493625.3098290598,3470,684000
342,3,2,2500,1,0,0,8,1300,1200,469928.76772616134,1580,425000
343,4,2,1275,1,0,0,6,1275,0,489382.0170940171,1660,309600
344,4,2,2580,2,0,0,8,2580,0,529629.7824675324,2380,552250
345,4,1,1000,1,0,0,6,1000,0,310612.75572519086,1020,165000
346,4,1,1000,1,0,0,6,1000,0,310612.75572519086,1020,239900
347,2,1,1070,1,0,0,6,1070,0,493625.3098290598,1360,320000
348,3,2,1390,1,0,0,7,1390,0,296187.98046875,1720,206600
349,4,2,2500,1,0,0,7,1250,1250,423736.9058295964,2040,387000
350,1,1,560,1,0,0,4,560,0,455617.1129032258,1300,299000
351,4,3,2270,2,0,0,9,2270,0,1194873.6382978724,2610,855000
352,3,1,1900,1,0,0,7,1300,600,464322.38976377953,1940,315000
353,2,1,990,1,0,2,7,790,200,585048.7790697674,1930,437500
354,4,2,1550,1,0,0,7,1050,500,281194.8698060942,1640,252000
355,4,2,2200,1,0,0,7,1100,1100,418019.36094674555,1600,375000
356,4,2,1910,2,0,0,7,1910,0,367091.48387096776,2010,300000
357,4,1,1750,"1,5",0,0,7,1750,0,859938.5542168674,1750,420000
358,3,1,1330,1,0,0,7,1330,0,803990.8194444445,1340,900000
359,3,2,2440,2,0,2,9,1980,460,618695.1090909091,1520,679900
360,3,2,1640,2,0,0,7,1640,0,677215.034739454,1580,463000
361,5,2,2760,2,0,0,9,2760,0,493625.3098290598,2470,380000
362,4,2,1820,2,0,0,7,1820,0,367091.48387096776,1820,329500
363,3,2,2110,1,0,0,8,1340,770,803990.8194444445,2040,604950
364,5,2,3040,1,0,2,8,1640,1400,859938.5542168674,2920,795000
365,3,2,1840,2,0,0,7,1840,0,440232.31363636366,1380,465000
366,4,2,2990,2,0,0,9,2990,0,464322.38976377953,2140,673000
367,4,2,3520,2,0,0,10,3520,0,685675.8435374149,3400,810000
368,4,3,2440,1,0,0,8,1910,530,790734.704735376,2770,785000
369,4,3,2090,1,0,0,7,1370,720,420895.47536945814,1810,338000
370,3,2,1430,2,0,0,7,1430,0,420895.47536945814,1430,280000
371,4,2,2180,1,0,0,7,1100,1080,387011.5902636917,1810,315000
372,4,2,2180,1,0,0,7,1100,1080,387011.5902636917,1810,530000
373,5,3,3450,2,0,0,9,3450,0,286742.81162324647,2860,380000
374,3,2,1450,2,0,0,7,1450,0,420895.47536945814,1650,297000
375,4,2,3230,2,0,0,10,3230,0,790734.704735376,3480,730000
376,3,2,1640,1,0,0,7,1110,530,469928.76772616134,1770,450000
377,3,3,1590,1,0,0,7,1060,530,367091.48387096776,1680,275000
378,4,2,2020,2,0,0,7,2020,0,619944.1492281304,1910,595000
379,3,2,1300,"1,5",0,0,7,1300,0,594706.5422740525,1590,435000
380,2,2,1380,1,0,0,6,1380,0,490377.1076923077,3130,270000
381,3,3,4040,2,0,0,10,3030,1010,682885.9898989899,3360,950000
382,4,2,2130,2,0,0,7,2130,0,424815.06315789477,2300,389000
